# q=  0.12625870E-03  0.12625870E-03  0.00000000E+00  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
     187     -0.23648837E-08     -0.23651833E-08     -0.38028265E-03     -0.33718490E-02
     188     -0.23648851E-08     -0.23651833E-08     -0.39565038E-03     -0.33718490E-02
     189     -0.23648864E-08     -0.23651833E-08     -0.41124156E-03     -0.33718490E-02
     190     -0.23648876E-08     -0.23651833E-08     -0.42880836E-03     -0.33718490E-02
     191     -0.23648888E-08     -0.23651833E-08     -0.44777210E-03     -0.33718490E-02
     192     -0.23648900E-08     -0.23651833E-08     -0.46674170E-03     -0.33718490E-02
     193     -0.23648912E-08     -0.23651833E-08     -0.48705262E-03     -0.33718490E-02
     194     -0.23648923E-08     -0.23651833E-08     -0.50659555E-03     -0.33718490E-02
     195     -0.23648933E-08     -0.23651833E-08     -0.52479930E-03     -0.33718490E-02
     196     -0.23648945E-08     -0.23651833E-08     -0.54534230E-03     -0.33718490E-02
 
# q=  0.50503479E-03  0.50503479E-03  0.00000000E+00  (qpt 2)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.22349755E-07     -0.37843774E-07     -0.21560762E-05     -0.33691068E-02
       2     -0.24558084E-07     -0.37843774E-07     -0.43943475E-05     -0.33691068E-02
       3     -0.25431688E-07     -0.37843774E-07     -0.52407301E-05     -0.33691068E-02
       4     -0.25879936E-07     -0.37843774E-07     -0.63271606E-05     -0.33691068E-02
       5     -0.27020976E-07     -0.37843774E-07     -0.70478192E-05     -0.33691068E-02
       6     -0.27309275E-07     -0.37843774E-07     -0.81093585E-05     -0.33691068E-02
       7     -0.29835069E-07     -0.37843774E-07     -0.10061271E-04     -0.33691068E-02
       8     -0.31737611E-07     -0.37843774E-07     -0.10900384E-04     -0.33691068E-02
       9     -0.33354479E-07     -0.37843774E-07     -0.13389075E-04     -0.33691068E-02
      10     -0.34740643E-07     -0.37843774E-07     -0.15475004E-04     -0.33691068E-02
      11     -0.35135842E-07     -0.37843774E-07     -0.16847062E-04     -0.33691068E-02
      12     -0.35841422E-07     -0.37843774E-07     -0.18959300E-04     -0.33691068E-02
      13     -0.36443986E-07     -0.37843774E-07     -0.21259406E-04     -0.33691068E-02
      14     -0.36599884E-07     -0.37843774E-07     -0.23400466E-04     -0.33691068E-02
      15     -0.36745613E-07     -0.37843774E-07     -0.23927066E-04     -0.33691068E-02
      16     -0.36813194E-07     -0.37843774E-07     -0.24889975E-04     -0.33691068E-02
      17     -0.36880168E-07     -0.37843774E-07     -0.25568071E-04     -0.33691068E-02
      18     -0.36937597E-07     -0.37843774E-07     -0.26679991E-04     -0.33691068E-02
      19     -0.36988062E-07     -0.37843774E-07     -0.27739920E-04     -0.33691068E-02
      20     -0.37041072E-07     -0.37843774E-07     -0.28836876E-04     -0.33691068E-02
      21     -0.37083095E-07     -0.37843774E-07     -0.30162866E-04     -0.33691068E-02
      22     -0.37111952E-07     -0.37843774E-07     -0.30574963E-04     -0.33691068E-02
      23     -0.37140606E-07     -0.37843774E-07     -0.31468871E-04     -0.33691068E-02
      24     -0.37175284E-07     -0.37843774E-07     -0.31843789E-04     -0.33691068E-02
      25     -0.37197229E-07     -0.37843774E-07     -0.32317358E-04     -0.33691068E-02
      26     -0.37218188E-07     -0.37843774E-07     -0.32851710E-04     -0.33691068E-02
      27     -0.37233863E-07     -0.37843774E-07     -0.33220656E-04     -0.33691068E-02
      28     -0.37254323E-07     -0.37843774E-07     -0.33719961E-04     -0.33691068E-02
      29     -0.37268741E-07     -0.37843774E-07     -0.34031568E-04     -0.33691068E-02
      30     -0.37284169E-07     -0.37843774E-07     -0.34386057E-04     -0.33691068E-02
      31     -0.37302700E-07     -0.37843774E-07     -0.34705062E-04     -0.33691068E-02
      32     -0.37325103E-07     -0.37843774E-07     -0.35131351E-04     -0.33691068E-02
      33     -0.37341632E-07     -0.37843774E-07     -0.35378708E-04     -0.33691068E-02
      34     -0.37393241E-07     -0.37843774E-07     -0.36115552E-04     -0.33691068E-02
      35     -0.37416806E-07     -0.37843774E-07     -0.36381635E-04     -0.33691068E-02
      36     -0.37460045E-07     -0.37843774E-07     -0.37027431E-04     -0.33691068E-02
      37     -0.37478471E-07     -0.37843774E-07     -0.37250913E-04     -0.33691068E-02
      38     -0.37492242E-07     -0.37843774E-07     -0.37540226E-04     -0.33691068E-02
      39     -0.37503677E-07     -0.37843774E-07     -0.37718119E-04     -0.33691068E-02
      40     -0.37511691E-07     -0.37843774E-07     -0.37892451E-04     -0.33691068E-02
      41     -0.37518896E-07     -0.37843774E-07     -0.38053760E-04     -0.33691068E-02
      42     -0.37525181E-07     -0.37843774E-07     -0.38236602E-04     -0.33691068E-02
      43     -0.37534167E-07     -0.37843774E-07     -0.38351730E-04     -0.33691068E-02
      44     -0.37539970E-07     -0.37843774E-07     -0.38497329E-04     -0.33691068E-02
      45     -0.37546991E-07     -0.37843774E-07     -0.38699550E-04     -0.33691068E-02
      46     -0.37551303E-07     -0.37843774E-07     -0.38822111E-04     -0.33691068E-02
      47     -0.37557836E-07     -0.37843774E-07     -0.38943436E-04     -0.33691068E-02
      48     -0.37563352E-07     -0.37843774E-07     -0.39117094E-04     -0.33691068E-02
      49     -0.37569659E-07     -0.37843774E-07     -0.39288895E-04     -0.33691068E-02
      50     -0.37574050E-07     -0.37843774E-07     -0.39409556E-04     -0.33691068E-02
      51     -0.37579821E-07     -0.37843774E-07     -0.39604250E-04     -0.33691068E-02
      52     -0.37585501E-07     -0.37843774E-07     -0.39827368E-04     -0.33691068E-02
      53     -0.37591203E-07     -0.37843774E-07     -0.40013286E-04     -0.33691068E-02
      54     -0.37595366E-07     -0.37843774E-07     -0.40190988E-04     -0.33691068E-02
      55     -0.37604032E-07     -0.37843774E-07     -0.40504190E-04     -0.33691068E-02
      56     -0.37610386E-07     -0.37843774E-07     -0.40790573E-04     -0.33691068E-02
      57     -0.37619485E-07     -0.37843774E-07     -0.41076543E-04     -0.33691068E-02
      58     -0.37625888E-07     -0.37843774E-07     -0.41356564E-04     -0.33691068E-02
      59     -0.37633690E-07     -0.37843774E-07     -0.41628181E-04     -0.33691068E-02
      60     -0.37641967E-07     -0.37843774E-07     -0.41979762E-04     -0.33691068E-02
      61     -0.37649498E-07     -0.37843774E-07     -0.42276015E-04     -0.33691068E-02
      62     -0.37654406E-07     -0.37843774E-07     -0.42562266E-04     -0.33691068E-02
      63     -0.37660710E-07     -0.37843774E-07     -0.42854846E-04     -0.33691068E-02
      64     -0.37664275E-07     -0.37843774E-07     -0.43051728E-04     -0.33691068E-02
      65     -0.37669181E-07     -0.37843774E-07     -0.43307403E-04     -0.33691068E-02
      66     -0.37673421E-07     -0.37843774E-07     -0.43530398E-04     -0.33691068E-02
      67     -0.37678705E-07     -0.37843774E-07     -0.43835576E-04     -0.33691068E-02
      68     -0.37682457E-07     -0.37843774E-07     -0.44048477E-04     -0.33691068E-02
      69     -0.37686726E-07     -0.37843774E-07     -0.44315031E-04     -0.33691068E-02
      70     -0.37691011E-07     -0.37843774E-07     -0.44565543E-04     -0.33691068E-02
      71     -0.37694111E-07     -0.37843774E-07     -0.44762793E-04     -0.33691068E-02
      72     -0.37698402E-07     -0.37843774E-07     -0.45060105E-04     -0.33691068E-02
      73     -0.37702364E-07     -0.37843774E-07     -0.45356974E-04     -0.33691068E-02
      74     -0.37705215E-07     -0.37843774E-07     -0.45565792E-04     -0.33691068E-02
      75     -0.37708450E-07     -0.37843774E-07     -0.45775228E-04     -0.33691068E-02
      76     -0.37710679E-07     -0.37843774E-07     -0.45981132E-04     -0.33691068E-02
      77     -0.37713387E-07     -0.37843774E-07     -0.46150202E-04     -0.33691068E-02
      78     -0.37715400E-07     -0.37843774E-07     -0.46298500E-04     -0.33691068E-02
      79     -0.37717619E-07     -0.37843774E-07     -0.46455986E-04     -0.33691068E-02
      80     -0.37719683E-07     -0.37843774E-07     -0.46596351E-04     -0.33691068E-02
      81     -0.37721647E-07     -0.37843774E-07     -0.46736217E-04     -0.33691068E-02
      82     -0.37723261E-07     -0.37843774E-07     -0.46854041E-04     -0.33691068E-02
      83     -0.37724820E-07     -0.37843774E-07     -0.46969474E-04     -0.33691068E-02
      84     -0.37726525E-07     -0.37843774E-07     -0.47120985E-04     -0.33691068E-02
      85     -0.37728369E-07     -0.37843774E-07     -0.47253656E-04     -0.33691068E-02
      86     -0.37730319E-07     -0.37843774E-07     -0.47433133E-04     -0.33691068E-02
      87     -0.37731972E-07     -0.37843774E-07     -0.47527541E-04     -0.33691068E-02
      88     -0.37733579E-07     -0.37843774E-07     -0.47679886E-04     -0.33691068E-02
      89     -0.37735062E-07     -0.37843774E-07     -0.47795724E-04     -0.33691068E-02
      90     -0.37736639E-07     -0.37843774E-07     -0.47965000E-04     -0.33691068E-02
      91     -0.37737919E-07     -0.37843774E-07     -0.48099680E-04     -0.33691068E-02
      92     -0.37740084E-07     -0.37843774E-07     -0.48342733E-04     -0.33691068E-02
      93     -0.37742005E-07     -0.37843774E-07     -0.48549575E-04     -0.33691068E-02
      94     -0.37743342E-07     -0.37843774E-07     -0.48739178E-04     -0.33691068E-02
      95     -0.37744698E-07     -0.37843774E-07     -0.48900076E-04     -0.33691068E-02
      96     -0.37746510E-07     -0.37843774E-07     -0.49137550E-04     -0.33691068E-02
      97     -0.37748719E-07     -0.37843774E-07     -0.49388079E-04     -0.33691068E-02
      98     -0.37750271E-07     -0.37843774E-07     -0.49592379E-04     -0.33691068E-02
      99     -0.37751823E-07     -0.37843774E-07     -0.49778241E-04     -0.33691068E-02
     100     -0.37752983E-07     -0.37843774E-07     -0.49903659E-04     -0.33691068E-02
     101     -0.37754416E-07     -0.37843774E-07     -0.50062107E-04     -0.33691068E-02
     102     -0.37755741E-07     -0.37843774E-07     -0.50242260E-04     -0.33691068E-02
     103     -0.37761027E-07     -0.37843774E-07     -0.50988518E-04     -0.33691068E-02
     104     -0.37765698E-07     -0.37843774E-07     -0.51564897E-04     -0.33691068E-02
     105     -0.37769134E-07     -0.37843774E-07     -0.52107171E-04     -0.33691068E-02
     106     -0.37773056E-07     -0.37843774E-07     -0.52681184E-04     -0.33691068E-02
     107     -0.37776155E-07     -0.37843774E-07     -0.53204006E-04     -0.33691068E-02
     108     -0.37779116E-07     -0.37843774E-07     -0.53750780E-04     -0.33691068E-02
     109     -0.37782228E-07     -0.37843774E-07     -0.54368597E-04     -0.33691068E-02
     110     -0.37784837E-07     -0.37843774E-07     -0.54950478E-04     -0.33691068E-02
     111     -0.37787843E-07     -0.37843774E-07     -0.55571808E-04     -0.33691068E-02
     112     -0.37789846E-07     -0.37843774E-07     -0.56166570E-04     -0.33691068E-02
     113     -0.37792052E-07     -0.37843774E-07     -0.56756279E-04     -0.33691068E-02
     114     -0.37794281E-07     -0.37843774E-07     -0.57568511E-04     -0.33691068E-02
     115     -0.37796720E-07     -0.37843774E-07     -0.58387932E-04     -0.33691068E-02
     116     -0.37798706E-07     -0.37843774E-07     -0.59124837E-04     -0.33691068E-02
     117     -0.37800836E-07     -0.37843774E-07     -0.60218076E-04     -0.33691068E-02
     118     -0.37803019E-07     -0.37843774E-07     -0.61306049E-04     -0.33691068E-02
     119     -0.37805514E-07     -0.37843774E-07     -0.62467214E-04     -0.33691068E-02
     120     -0.37807898E-07     -0.37843774E-07     -0.63652810E-04     -0.33691068E-02
     121     -0.37809830E-07     -0.37843774E-07     -0.64691059E-04     -0.33691068E-02
     122     -0.37811292E-07     -0.37843774E-07     -0.65373567E-04     -0.33691068E-02
     123     -0.37813054E-07     -0.37843774E-07     -0.66229572E-04     -0.33691068E-02
     124     -0.37814654E-07     -0.37843774E-07     -0.67124617E-04     -0.33691068E-02
