# q=  0.10000000E-02  0.00000000E+00  0.00000000E+00  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
      23     -0.48537623E-07     -0.49456552E-07     -0.31469204E-04     -0.33777925E-02
      24     -0.48582991E-07     -0.49456552E-07     -0.31844127E-04     -0.33777925E-02
      25     -0.48611626E-07     -0.49456552E-07     -0.32317700E-04     -0.33777925E-02
      26     -0.48639018E-07     -0.49456552E-07     -0.32852057E-04     -0.33777925E-02
      27     -0.48659505E-07     -0.49456552E-07     -0.33221007E-04     -0.33777925E-02
      28     -0.48686242E-07     -0.49456552E-07     -0.33720317E-04     -0.33777925E-02
      29     -0.48705087E-07     -0.49456552E-07     -0.34031928E-04     -0.33777925E-02
      30     -0.48725252E-07     -0.49456552E-07     -0.34386421E-04     -0.33777925E-02
      31     -0.48749467E-07     -0.49456552E-07     -0.34705429E-04     -0.33777925E-02
      32     -0.48778745E-07     -0.49456552E-07     -0.35131722E-04     -0.33777925E-02
      33     -0.48800346E-07     -0.49456552E-07     -0.35379083E-04     -0.33777925E-02
      34     -0.48867794E-07     -0.49456552E-07     -0.36115933E-04     -0.33777925E-02
      35     -0.48898592E-07     -0.49456552E-07     -0.36382020E-04     -0.33777925E-02
      36     -0.48955099E-07     -0.49456552E-07     -0.37027823E-04     -0.33777925E-02
      37     -0.48979180E-07     -0.49456552E-07     -0.37251307E-04     -0.33777925E-02
      38     -0.48997177E-07     -0.49456552E-07     -0.37540624E-04     -0.33777925E-02
      39     -0.49012120E-07     -0.49456552E-07     -0.37718519E-04     -0.33777925E-02
      40     -0.49022595E-07     -0.49456552E-07     -0.37892853E-04     -0.33777925E-02
      41     -0.49032010E-07     -0.49456552E-07     -0.38054165E-04     -0.33777925E-02
      42     -0.49040224E-07     -0.49456552E-07     -0.38237009E-04     -0.33777925E-02
      43     -0.49051971E-07     -0.49456552E-07     -0.38352140E-04     -0.33777925E-02
      44     -0.49059551E-07     -0.49456552E-07     -0.38497740E-04     -0.33777925E-02
      45     -0.49068727E-07     -0.49456552E-07     -0.38699964E-04     -0.33777925E-02
      46     -0.49074362E-07     -0.49456552E-07     -0.38822528E-04     -0.33777925E-02
      47     -0.49082900E-07     -0.49456552E-07     -0.38943854E-04     -0.33777925E-02
      48     -0.49090110E-07     -0.49456552E-07     -0.39117514E-04     -0.33777925E-02
      49     -0.49098351E-07     -0.49456552E-07     -0.39289318E-04     -0.33777925E-02
      50     -0.49104091E-07     -0.49456552E-07     -0.39409981E-04     -0.33777925E-02
      51     -0.49111632E-07     -0.49456552E-07     -0.39604677E-04     -0.33777925E-02
      52     -0.49119057E-07     -0.49456552E-07     -0.39827798E-04     -0.33777925E-02
      53     -0.49126508E-07     -0.49456552E-07     -0.40013719E-04     -0.33777925E-02
      54     -0.49131948E-07     -0.49456552E-07     -0.40191423E-04     -0.33777925E-02
      55     -0.49143276E-07     -0.49456552E-07     -0.40504630E-04     -0.33777925E-02
      56     -0.49151578E-07     -0.49456552E-07     -0.40791016E-04     -0.33777925E-02
      57     -0.49163470E-07     -0.49456552E-07     -0.41076990E-04     -0.33777925E-02
      58     -0.49171837E-07     -0.49456552E-07     -0.41357014E-04     -0.33777925E-02
      59     -0.49182034E-07     -0.49456552E-07     -0.41628635E-04     -0.33777925E-02
      60     -0.49192852E-07     -0.49456552E-07     -0.41980220E-04     -0.33777925E-02
      61     -0.49202692E-07     -0.49456552E-07     -0.42276477E-04     -0.33777925E-02
      62     -0.49209108E-07     -0.49456552E-07     -0.42562732E-04     -0.33777925E-02
      63     -0.49217347E-07     -0.49456552E-07     -0.42855316E-04     -0.33777925E-02
      64     -0.49222006E-07     -0.49456552E-07     -0.43052201E-04     -0.33777925E-02
      65     -0.49228417E-07     -0.49456552E-07     -0.43307880E-04     -0.33777925E-02
      66     -0.49233957E-07     -0.49456552E-07     -0.43530878E-04     -0.33777925E-02
      67     -0.49240864E-07     -0.49456552E-07     -0.43836060E-04     -0.33777925E-02
      68     -0.49245771E-07     -0.49456552E-07     -0.44048964E-04     -0.33777925E-02
      69     -0.49251347E-07     -0.49456552E-07     -0.44315521E-04     -0.33777925E-02
      70     -0.49256947E-07     -0.49456552E-07     -0.44566037E-04     -0.33777925E-02
      71     -0.49260998E-07     -0.49456552E-07     -0.44763290E-04     -0.33777925E-02
      72     -0.49266606E-07     -0.49456552E-07     -0.45060607E-04     -0.33777925E-02
      73     -0.49271781E-07     -0.49456552E-07     -0.45357481E-04     -0.33777925E-02
      74     -0.49275510E-07     -0.49456552E-07     -0.45566301E-04     -0.33777925E-02
      75     -0.49279737E-07     -0.49456552E-07     -0.45775741E-04     -0.33777925E-02
      76     -0.49282651E-07     -0.49456552E-07     -0.45981648E-04     -0.33777925E-02
      77     -0.49286189E-07     -0.49456552E-07     -0.46150721E-04     -0.33777925E-02
      78     -0.49288820E-07     -0.49456552E-07     -0.46299021E-04     -0.33777925E-02
      79     -0.49291720E-07     -0.49456552E-07     -0.46456509E-04     -0.33777925E-02
      80     -0.49294418E-07     -0.49456552E-07     -0.46596876E-04     -0.33777925E-02
      81     -0.49296987E-07     -0.49456552E-07     -0.46736745E-04     -0.33777925E-02
      82     -0.49299093E-07     -0.49456552E-07     -0.46854571E-04     -0.33777925E-02
      83     -0.49301131E-07     -0.49456552E-07     -0.46970005E-04     -0.33777925E-02
      84     -0.49303360E-07     -0.49456552E-07     -0.47121518E-04     -0.33777925E-02
      85     -0.49305769E-07     -0.49456552E-07     -0.47254192E-04     -0.33777925E-02
      86     -0.49308311E-07     -0.49456552E-07     -0.47433672E-04     -0.33777925E-02
      87     -0.49310478E-07     -0.49456552E-07     -0.47528081E-04     -0.33777925E-02
      88     -0.49312578E-07     -0.49456552E-07     -0.47680429E-04     -0.33777925E-02
      89     -0.49314516E-07     -0.49456552E-07     -0.47796268E-04     -0.33777925E-02
      90     -0.49316577E-07     -0.49456552E-07     -0.47965546E-04     -0.33777925E-02
      91     -0.49318250E-07     -0.49456552E-07     -0.48100228E-04     -0.33777925E-02
      92     -0.49321079E-07     -0.49456552E-07     -0.48343285E-04     -0.33777925E-02
      93     -0.49323592E-07     -0.49456552E-07     -0.48550130E-04     -0.33777925E-02
      94     -0.49325337E-07     -0.49456552E-07     -0.48739736E-04     -0.33777925E-02
      95     -0.49327109E-07     -0.49456552E-07     -0.48900636E-04     -0.33777925E-02
      96     -0.49329477E-07     -0.49456552E-07     -0.49138115E-04     -0.33777925E-02
      97     -0.49332364E-07     -0.49456552E-07     -0.49388648E-04     -0.33777925E-02
      98     -0.49334385E-07     -0.49456552E-07     -0.49592951E-04     -0.33777925E-02
      99     -0.49336420E-07     -0.49456552E-07     -0.49778816E-04     -0.33777925E-02
     100     -0.49337937E-07     -0.49456552E-07     -0.49904236E-04     -0.33777925E-02
     101     -0.49339809E-07     -0.49456552E-07     -0.50062686E-04     -0.33777925E-02
     102     -0.49341542E-07     -0.49456552E-07     -0.50242842E-04     -0.33777925E-02
     103     -0.49348485E-07     -0.49456552E-07     -0.50984901E-04     -0.33777925E-02
     104     -0.49354558E-07     -0.49456552E-07     -0.51554312E-04     -0.33777925E-02
     105     -0.49359048E-07     -0.49456552E-07     -0.52094664E-04     -0.33777925E-02
     106     -0.49364186E-07     -0.49456552E-07     -0.52672219E-04     -0.33777925E-02
     107     -0.49368245E-07     -0.49456552E-07     -0.53194629E-04     -0.33777925E-02
     108     -0.49372120E-07     -0.49456552E-07     -0.53743923E-04     -0.33777925E-02
     109     -0.49376172E-07     -0.49456552E-07     -0.54366838E-04     -0.33777925E-02
     110     -0.49379616E-07     -0.49456552E-07     -0.54943714E-04     -0.33777925E-02
     111     -0.49383549E-07     -0.49456552E-07     -0.55558578E-04     -0.33777925E-02
     112     -0.49386167E-07     -0.49456552E-07     -0.56159235E-04     -0.33777925E-02
     113     -0.49389032E-07     -0.49456552E-07     -0.56752927E-04     -0.33777925E-02
     114     -0.49391953E-07     -0.49456552E-07     -0.57551784E-04     -0.33777925E-02
     115     -0.49395150E-07     -0.49456552E-07     -0.58385326E-04     -0.33777925E-02
     116     -0.49397758E-07     -0.49456552E-07     -0.59115578E-04     -0.33777925E-02
     117     -0.49400507E-07     -0.49456552E-07     -0.60229050E-04     -0.33777925E-02
     118     -0.49403353E-07     -0.49456552E-07     -0.61309969E-04     -0.33777925E-02
     119     -0.49406601E-07     -0.49456552E-07     -0.62466414E-04     -0.33777925E-02
     120     -0.49409707E-07     -0.49456552E-07     -0.63666592E-04     -0.33777925E-02
     121     -0.49412252E-07     -0.49456552E-07     -0.64677969E-04     -0.33777925E-02
     122     -0.49414166E-07     -0.49456552E-07     -0.65362431E-04     -0.33777925E-02
     123     -0.49416471E-07     -0.49456552E-07     -0.66223087E-04     -0.33777925E-02
     124     -0.49418545E-07     -0.49456552E-07     -0.67124491E-04     -0.33777925E-02
     125     -0.49420456E-07     -0.49456552E-07     -0.67988377E-04     -0.33777925E-02
     126     -0.49422032E-07     -0.49456552E-07     -0.68797686E-04     -0.33777925E-02
     127     -0.49423728E-07     -0.49456552E-07     -0.69784451E-04     -0.33777925E-02
     128     -0.49425449E-07     -0.49456552E-07     -0.70920557E-04     -0.33777925E-02
     129     -0.49426877E-07     -0.49456552E-07     -0.71923167E-04     -0.33777925E-02
     130     -0.49428247E-07     -0.49456552E-07     -0.72891000E-04     -0.33777925E-02
     131     -0.49429490E-07     -0.49456552E-07     -0.73817734E-04     -0.33777925E-02
     132     -0.49430937E-07     -0.49456552E-07     -0.75027940E-04     -0.33777925E-02
     133     -0.49432094E-07     -0.49456552E-07     -0.76062974E-04     -0.33777925E-02
     134     -0.49433332E-07     -0.49456552E-07     -0.77287473E-04     -0.33777925E-02
     135     -0.49434261E-07     -0.49456552E-07     -0.78388373E-04     -0.33777925E-02
     136     -0.49435228E-07     -0.49456552E-07     -0.79415613E-04     -0.33777925E-02
     137     -0.49436042E-07     -0.49456552E-07     -0.80469516E-04     -0.33777925E-02
     138     -0.49436850E-07     -0.49456552E-07     -0.81635413E-04     -0.33777925E-02
     139     -0.49437519E-07     -0.49456552E-07     -0.82784924E-04     -0.33777925E-02
     140     -0.49438244E-07     -0.49456552E-07     -0.84091152E-04     -0.33777925E-02
     141     -0.49438866E-07     -0.49456552E-07     -0.85244417E-04     -0.33777925E-02
     142     -0.49439536E-07     -0.49456552E-07     -0.86532445E-04     -0.33777925E-02
     143     -0.49440092E-07     -0.49456552E-07     -0.87659087E-04     -0.33777925E-02
     144     -0.49440767E-07     -0.49456552E-07     -0.89106502E-04     -0.33777925E-02
     145     -0.49441356E-07     -0.49456552E-07     -0.90430740E-04     -0.33777925E-02
     146     -0.49441977E-07     -0.49456552E-07     -0.91922620E-04     -0.33777925E-02
     147     -0.49442539E-07     -0.49456552E-07     -0.93459019E-04     -0.33777925E-02
     148     -0.49443050E-07     -0.49456552E-07     -0.94985703E-04     -0.33777925E-02
     149     -0.49443584E-07     -0.49456552E-07     -0.96759933E-04     -0.33777925E-02
     150     -0.49444080E-07     -0.49456552E-07     -0.98532970E-04     -0.33777925E-02
     151     -0.49444526E-07     -0.49456552E-07     -0.10038010E-03     -0.33777925E-02
     152     -0.49444909E-07     -0.49456552E-07     -0.10223367E-03     -0.33777925E-02
     153     -0.49445282E-07     -0.49456552E-07     -0.10426897E-03     -0.33777925E-02
     154     -0.49445656E-07     -0.49456552E-07     -0.10657436E-03     -0.33777925E-02
     155     -0.49445986E-07     -0.49456552E-07     -0.10876566E-03     -0.33777925E-02
     156     -0.49446296E-07     -0.49456552E-07     -0.11108301E-03     -0.33777925E-02
     157     -0.49446599E-07     -0.49456552E-07     -0.11343016E-03     -0.33777925E-02
     158     -0.49446879E-07     -0.49456552E-07     -0.11629032E-03     -0.33777925E-02
     159     -0.49447162E-07     -0.49456552E-07     -0.11943492E-03     -0.33777925E-02
     160     -0.49447430E-07     -0.49456552E-07     -0.12232933E-03     -0.33777925E-02
     161     -0.49447707E-07     -0.49456552E-07     -0.12613760E-03     -0.33777925E-02
     162     -0.49447954E-07     -0.49456552E-07     -0.13029253E-03     -0.33777925E-02
     163     -0.49448184E-07     -0.49456552E-07     -0.13479712E-03     -0.33777925E-02
     164     -0.49448364E-07     -0.49456552E-07     -0.13895692E-03     -0.33777925E-02
     165     -0.49448558E-07     -0.49456552E-07     -0.14452691E-03     -0.33777925E-02
     166     -0.49448724E-07     -0.49456552E-07     -0.14942646E-03     -0.33777925E-02
     167     -0.49448887E-07     -0.49456552E-07     -0.15496128E-03     -0.33777925E-02
     168     -0.49449026E-07     -0.49456552E-07     -0.16073758E-03     -0.33777925E-02
     169     -0.49449176E-07     -0.49456552E-07     -0.16829431E-03     -0.33777925E-02
     170     -0.49449302E-07     -0.49456552E-07     -0.17512011E-03     -0.33777925E-02
     171     -0.49449408E-07     -0.49456552E-07     -0.18258540E-03     -0.33777925E-02
     172     -0.49449501E-07     -0.49456552E-07     -0.19139655E-03     -0.33777925E-02
     173     -0.49449587E-07     -0.49456552E-07     -0.20030295E-03     -0.33777925E-02
     174     -0.49449672E-07     -0.49456552E-07     -0.20973113E-03     -0.33777925E-02
     175     -0.49449747E-07     -0.49456552E-07     -0.22018614E-03     -0.33777925E-02
     176     -0.49449812E-07     -0.49456552E-07     -0.23060490E-03     -0.33777925E-02
     177     -0.49449869E-07     -0.49456552E-07     -0.24114665E-03     -0.33777925E-02
     178     -0.49449927E-07     -0.49456552E-07     -0.25289771E-03     -0.33777925E-02
     179     -0.49449978E-07     -0.49456552E-07     -0.26546487E-03     -0.33777925E-02
     180     -0.49450025E-07     -0.49456552E-07     -0.27855931E-03     -0.33777925E-02
     181     -0.49450071E-07     -0.49456552E-07     -0.29260285E-03     -0.33777925E-02
     182     -0.49450119E-07     -0.49456552E-07     -0.30677639E-03     -0.33777925E-02
     183     -0.49450159E-07     -0.49456552E-07     -0.32056353E-03     -0.33777925E-02
     184     -0.49450194E-07     -0.49456552E-07     -0.33404657E-03     -0.33777925E-02
     185     -0.49450231E-07     -0.49456552E-07     -0.34932526E-03     -0.33777925E-02
     186     -0.49450263E-07     -0.49456552E-07     -0.36432768E-03     -0.33777925E-02
     187     -0.49450291E-07     -0.49456552E-07     -0.37942614E-03     -0.33777925E-02
     188     -0.49450321E-07     -0.49456552E-07     -0.39479301E-03     -0.33777925E-02
     189     -0.49450348E-07     -0.49456552E-07     -0.41034321E-03     -0.33777925E-02
     190     -0.49450374E-07     -0.49456552E-07     -0.42798291E-03     -0.33777925E-02
     191     -0.49450397E-07     -0.49456552E-07     -0.44677489E-03     -0.33777925E-02
     192     -0.49450422E-07     -0.49456552E-07     -0.46475345E-03     -0.33777925E-02
     193     -0.49450448E-07     -0.49456552E-07     -0.48553281E-03     -0.33777925E-02
     194     -0.49450470E-07     -0.49456552E-07     -0.50541131E-03     -0.33777925E-02
     195     -0.49450493E-07     -0.49456552E-07     -0.52376169E-03     -0.33777925E-02
     196     -0.49450517E-07     -0.49456552E-07     -0.54520926E-03     -0.33777925E-02
 
# q=  0.00000000E+00  0.41666667E-01  0.00000000E+00  (qpt 2)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.49669369E-04     -0.84646671E-04     -0.19244164E-05     -0.34333974E-02
       2     -0.54631254E-04     -0.84646671E-04     -0.38338224E-05     -0.34333974E-02
       3     -0.56603204E-04     -0.84646671E-04     -0.46300333E-05     -0.34333974E-02
       4     -0.57624203E-04     -0.84646671E-04     -0.54942560E-05     -0.34333974E-02
       5     -0.60177404E-04     -0.84646671E-04     -0.62319097E-05     -0.34333974E-02
       6     -0.60844594E-04     -0.84646671E-04     -0.69624159E-05     -0.34333974E-02
       7     -0.66507569E-04     -0.84646671E-04     -0.91215087E-05     -0.34333974E-02
       8     -0.70732112E-04     -0.84646671E-04     -0.10562950E-04     -0.34333974E-02
       9     -0.74375732E-04     -0.84646671E-04     -0.13226523E-04     -0.34333974E-02
      10     -0.77527231E-04     -0.84646671E-04     -0.16199993E-04     -0.34333974E-02
      11     -0.78431015E-04     -0.84646671E-04     -0.17655823E-04     -0.34333974E-02
      12     -0.80056220E-04     -0.84646671E-04     -0.20898087E-04     -0.34333974E-02
      13     -0.81430604E-04     -0.84646671E-04     -0.23508010E-04     -0.34333974E-02
      14     -0.81791037E-04     -0.84646671E-04     -0.26311718E-04     -0.34333974E-02
      15     -0.82122539E-04     -0.84646671E-04     -0.26878291E-04     -0.34333974E-02
      16     -0.82279071E-04     -0.84646671E-04     -0.27939180E-04     -0.34333974E-02
      17     -0.82432352E-04     -0.84646671E-04     -0.28770840E-04     -0.34333974E-02
      18     -0.82566578E-04     -0.84646671E-04     -0.30190202E-04     -0.34333974E-02
      19     -0.82684527E-04     -0.84646671E-04     -0.31631918E-04     -0.34333974E-02
      20     -0.82806655E-04     -0.84646671E-04     -0.33178320E-04     -0.34333974E-02
      21     -0.82903458E-04     -0.84646671E-04     -0.34758648E-04     -0.34333974E-02
      22     -0.82969811E-04     -0.84646671E-04     -0.35223816E-04     -0.34333974E-02
      23     -0.83036419E-04     -0.84646671E-04     -0.36214189E-04     -0.34333974E-02
      24     -0.83116510E-04     -0.84646671E-04     -0.36594586E-04     -0.34333974E-02
      25     -0.83167144E-04     -0.84646671E-04     -0.37164345E-04     -0.34333974E-02
      26     -0.83215441E-04     -0.84646671E-04     -0.37734494E-04     -0.34333974E-02
      27     -0.83251633E-04     -0.84646671E-04     -0.38198388E-04     -0.34333974E-02
      28     -0.83298669E-04     -0.84646671E-04     -0.38785365E-04     -0.34333974E-02
      29     -0.83331992E-04     -0.84646671E-04     -0.39156383E-04     -0.34333974E-02
      30     -0.83367505E-04     -0.84646671E-04     -0.39581943E-04     -0.34333974E-02
      31     -0.83410122E-04     -0.84646671E-04     -0.39977013E-04     -0.34333974E-02
      32     -0.83461384E-04     -0.84646671E-04     -0.40538427E-04     -0.34333974E-02
      33     -0.83499244E-04     -0.84646671E-04     -0.40822544E-04     -0.34333974E-02
      34     -0.83617103E-04     -0.84646671E-04     -0.41874838E-04     -0.34333974E-02
      35     -0.83671002E-04     -0.84646671E-04     -0.42179765E-04     -0.34333974E-02
      36     -0.83769959E-04     -0.84646671E-04     -0.43049705E-04     -0.34333974E-02
      37     -0.83812178E-04     -0.84646671E-04     -0.43292452E-04     -0.34333974E-02
      38     -0.83843823E-04     -0.84646671E-04     -0.43625111E-04     -0.34333974E-02
      39     -0.83870074E-04     -0.84646671E-04     -0.43807319E-04     -0.34333974E-02
      40     -0.83888537E-04     -0.84646671E-04     -0.43984235E-04     -0.34333974E-02
      41     -0.83905105E-04     -0.84646671E-04     -0.44146654E-04     -0.34333974E-02
      42     -0.83919563E-04     -0.84646671E-04     -0.44343981E-04     -0.34333974E-02
      43     -0.83940142E-04     -0.84646671E-04     -0.44449340E-04     -0.34333974E-02
      44     -0.83953424E-04     -0.84646671E-04     -0.44582683E-04     -0.34333974E-02
      45     -0.83969504E-04     -0.84646671E-04     -0.44792298E-04     -0.34333974E-02
      46     -0.83979394E-04     -0.84646671E-04     -0.44918551E-04     -0.34333974E-02
      47     -0.83994321E-04     -0.84646671E-04     -0.45034378E-04     -0.34333974E-02
      48     -0.84006966E-04     -0.84646671E-04     -0.45217909E-04     -0.34333974E-02
      49     -0.84021324E-04     -0.84646671E-04     -0.45395305E-04     -0.34333974E-02
      50     -0.84031287E-04     -0.84646671E-04     -0.45511687E-04     -0.34333974E-02
      51     -0.84044449E-04     -0.84646671E-04     -0.45724157E-04     -0.34333974E-02
      52     -0.84057442E-04     -0.84646671E-04     -0.45979195E-04     -0.34333974E-02
      53     -0.84070411E-04     -0.84646671E-04     -0.46175737E-04     -0.34333974E-02
      54     -0.84079928E-04     -0.84646671E-04     -0.46365791E-04     -0.34333974E-02
      55     -0.84099817E-04     -0.84646671E-04     -0.46751171E-04     -0.34333974E-02
      56     -0.84114370E-04     -0.84646671E-04     -0.47094129E-04     -0.34333974E-02
      57     -0.84135194E-04     -0.84646671E-04     -0.47461193E-04     -0.34333974E-02
      58     -0.84149838E-04     -0.84646671E-04     -0.47841201E-04     -0.34333974E-02
      59     -0.84167765E-04     -0.84646671E-04     -0.48199761E-04     -0.34333974E-02
      60     -0.84186747E-04     -0.84646671E-04     -0.48697015E-04     -0.34333974E-02
      61     -0.84203996E-04     -0.84646671E-04     -0.49075678E-04     -0.34333974E-02
      62     -0.84215255E-04     -0.84646671E-04     -0.49453911E-04     -0.34333974E-02
      63     -0.84229667E-04     -0.84646671E-04     -0.49866371E-04     -0.34333974E-02
      64     -0.84237834E-04     -0.84646671E-04     -0.50122507E-04     -0.34333974E-02
      65     -0.84249057E-04     -0.84646671E-04     -0.50449705E-04     -0.34333974E-02
      66     -0.84258728E-04     -0.84646671E-04     -0.50740900E-04     -0.34333974E-02
      67     -0.84270807E-04     -0.84646671E-04     -0.51161555E-04     -0.34333974E-02
      68     -0.84279401E-04     -0.84646671E-04     -0.51434252E-04     -0.34333974E-02
      69     -0.84289169E-04     -0.84646671E-04     -0.51783338E-04     -0.34333974E-02
      70     -0.84298982E-04     -0.84646671E-04     -0.52128980E-04     -0.34333974E-02
      71     -0.84306062E-04     -0.84646671E-04     -0.52354941E-04     -0.34333974E-02
      72     -0.84315876E-04     -0.84646671E-04     -0.52674799E-04     -0.34333974E-02
      73     -0.84324894E-04     -0.84646671E-04     -0.53035562E-04     -0.34333974E-02
      74     -0.84331416E-04     -0.84646671E-04     -0.53263375E-04     -0.34333974E-02
      75     -0.84338792E-04     -0.84646671E-04     -0.53519733E-04     -0.34333974E-02
      76     -0.84343923E-04     -0.84646671E-04     -0.53720073E-04     -0.34333974E-02
      77     -0.84350074E-04     -0.84646671E-04     -0.53929688E-04     -0.34333974E-02
      78     -0.84354679E-04     -0.84646671E-04     -0.54077253E-04     -0.34333974E-02
      79     -0.84359744E-04     -0.84646671E-04     -0.54266884E-04     -0.34333974E-02
      80     -0.84364436E-04     -0.84646671E-04     -0.54422029E-04     -0.34333974E-02
      81     -0.84368929E-04     -0.84646671E-04     -0.54579900E-04     -0.34333974E-02
      82     -0.84372601E-04     -0.84646671E-04     -0.54705456E-04     -0.34333974E-02
      83     -0.84376155E-04     -0.84646671E-04     -0.54830280E-04     -0.34333974E-02
      84     -0.84380046E-04     -0.84646671E-04     -0.54995394E-04     -0.34333974E-02
      85     -0.84384234E-04     -0.84646671E-04     -0.55150050E-04     -0.34333974E-02
      86     -0.84388671E-04     -0.84646671E-04     -0.55374058E-04     -0.34333974E-02
      87     -0.84392458E-04     -0.84646671E-04     -0.55466374E-04     -0.34333974E-02
      88     -0.84396127E-04     -0.84646671E-04     -0.55623375E-04     -0.34333974E-02
      89     -0.84399507E-04     -0.84646671E-04     -0.55716028E-04     -0.34333974E-02
      90     -0.84403097E-04     -0.84646671E-04     -0.55898685E-04     -0.34333974E-02
      91     -0.84406016E-04     -0.84646671E-04     -0.56015342E-04     -0.34333974E-02
      92     -0.84410953E-04     -0.84646671E-04     -0.56309963E-04     -0.34333974E-02
      93     -0.84415329E-04     -0.84646671E-04     -0.56556989E-04     -0.34333974E-02
      94     -0.84418378E-04     -0.84646671E-04     -0.56723396E-04     -0.34333974E-02
      95     -0.84421473E-04     -0.84646671E-04     -0.56887721E-04     -0.34333974E-02
      96     -0.84425601E-04     -0.84646671E-04     -0.57147958E-04     -0.34333974E-02
      97     -0.84430647E-04     -0.84646671E-04     -0.57426010E-04     -0.34333974E-02
      98     -0.84434163E-04     -0.84646671E-04     -0.57630364E-04     -0.34333974E-02
      99     -0.84437715E-04     -0.84646671E-04     -0.57832631E-04     -0.34333974E-02
     100     -0.84440360E-04     -0.84646671E-04     -0.57950490E-04     -0.34333974E-02
     101     -0.84443621E-04     -0.84646671E-04     -0.58115621E-04     -0.34333974E-02
     102     -0.84446641E-04     -0.84646671E-04     -0.58301490E-04     -0.34333974E-02
     103     -0.84458708E-04     -0.84646671E-04     -0.59014463E-04     -0.34333974E-02
     104     -0.84469285E-04     -0.84646671E-04     -0.59567182E-04     -0.34333974E-02
     105     -0.84477103E-04     -0.84646671E-04     -0.60053215E-04     -0.34333974E-02
     106     -0.84486065E-04     -0.84646671E-04     -0.60587387E-04     -0.34333974E-02
     107     -0.84493115E-04     -0.84646671E-04     -0.61064537E-04     -0.34333974E-02
     108     -0.84499840E-04     -0.84646671E-04     -0.61555101E-04     -0.34333974E-02
     109     -0.84506921E-04     -0.84646671E-04     -0.62079893E-04     -0.34333974E-02
     110     -0.84512930E-04     -0.84646671E-04     -0.62580588E-04     -0.34333974E-02
     111     -0.84519760E-04     -0.84646671E-04     -0.63096754E-04     -0.34333974E-02
     112     -0.84524323E-04     -0.84646671E-04     -0.63526475E-04     -0.34333974E-02
     113     -0.84529330E-04     -0.84646671E-04     -0.63983579E-04     -0.34333974E-02
     114     -0.84534410E-04     -0.84646671E-04     -0.64545613E-04     -0.34333974E-02
     115     -0.84539999E-04     -0.84646671E-04     -0.65220734E-04     -0.34333974E-02
     116     -0.84544531E-04     -0.84646671E-04     -0.65774547E-04     -0.34333974E-02
     117     -0.84549337E-04     -0.84646671E-04     -0.66544229E-04     -0.34333974E-02
     118     -0.84554298E-04     -0.84646671E-04     -0.67365910E-04     -0.34333974E-02
     119     -0.84559938E-04     -0.84646671E-04     -0.68321508E-04     -0.34333974E-02
     120     -0.84565351E-04     -0.84646671E-04     -0.69284368E-04     -0.34333974E-02
     121     -0.84569770E-04     -0.84646671E-04     -0.70172606E-04     -0.34333974E-02
     122     -0.84573072E-04     -0.84646671E-04     -0.70795746E-04     -0.34333974E-02
     123     -0.84577058E-04     -0.84646671E-04     -0.71570076E-04     -0.34333974E-02
     124     -0.84580658E-04     -0.84646671E-04     -0.72351185E-04     -0.34333974E-02
